id,kode_provinsi,provinsi,indeks_pendidikan,satuan,tahun
1,1100,ACEH,63.42,POIN,2010
2,1200,SUMATERA UTARA,61.2,POIN,2010
3,1300,SUMATERA BARAT,61.06,POIN,2010
4,1400,RIAU,60.18,POIN,2010
5,1500,JAMBI,55.96,POIN,2010
6,1600,SUMATERA SELATAN,55.09,POIN,2010
7,1700,BENGKULU,58.35,POIN,2010
8,1800,LAMPUNG,54.41,POIN,2010
9,1900,KEP. BANGKA BELITUNG,52.69,POIN,2010
10,2100,KEPULAUAN RIAU,63.26,POIN,2010
11,3100,DKI JAKARTA,67.51,POIN,2010
12,3200,JAWA BARAT,54.34,POIN,2010
13,3300,JAWA TENGAH,53.18,POIN,2010
14,3400,D I YOGYAKARTA,67.67,POIN,2010
15,3500,JAWA TIMUR,54.36,POIN,2010
16,3600,BANTEN,57.02,POIN,2010
17,5100,BALI,58.3,POIN,2010
18,5200,NUSA TENGGARA BARAT,51.5,POIN,2010
19,5300,NUSA TENGGARA TIMUR,51.81,POIN,2010
20,6100,KALIMANTAN BARAT,50.87,POIN,2010
21,6200,KALIMANTAN TENGAH,56.18,POIN,2010
22,6300,KALIMANTAN SELATAN,54.35,POIN,2010
23,6400,KALIMANTAN TIMUR,61.5,POIN,2010
24,6500,KALIMANTAN UTARA,0.0,POIN,2010
25,7100,SULAWESI UTARA,60.35,POIN,2010
26,7200,SULAWESI TENGAH,56.54,POIN,2010
27,7300,SULAWESI SELATAN,56.16,POIN,2010
28,7400,SULAWESI TENGGARA,58.98,POIN,2010
29,7500,GORONTALO,53.73,POIN,2010
30,7600,SULAWESI BARAT,51.48,POIN,2010
31,8100,MALUKU,63.86,POIN,2010
32,8200,MALUKU UTARA,58.99,POIN,2010
33,9100,PAPUA BARAT,53.41,POIN,2010
34,9400,PAPUA,42.45,POIN,2010
35,1100,ACEH,63.92,POIN,2011
36,1200,SUMATERA UTARA,61.57,POIN,2011
37,1300,SUMATERA BARAT,62.11,POIN,2011
38,1400,RIAU,60.35,POIN,2011
39,1500,JAMBI,57.17,POIN,2011
40,1600,SUMATERA SELATAN,55.87,POIN,2011
41,1700,BENGKULU,59.42,POIN,2011
42,1800,LAMPUNG,54.92,POIN,2011
43,1900,KEP. BANGKA BELITUNG,53.67,POIN,2011
44,2100,KEPULAUAN RIAU,63.76,POIN,2011
45,3100,DKI JAKARTA,67.74,POIN,2011
46,3200,JAWA BARAT,55.15,POIN,2011
47,3300,JAWA TENGAH,53.53,POIN,2011
48,3400,D I YOGYAKARTA,69.01,POIN,2011
49,3500,JAWA TIMUR,54.9,POIN,2011
50,3600,BANTEN,58.2,POIN,2011
51,5100,BALI,59.57,POIN,2011
52,5200,NUSA TENGGARA BARAT,53.49,POIN,2011
53,5300,NUSA TENGGARA TIMUR,54.09,POIN,2011
54,6100,KALIMANTAN BARAT,51.06,POIN,2011
55,6200,KALIMANTAN TENGAH,56.56,POIN,2011
56,6300,KALIMANTAN SELATAN,55.51,POIN,2011
57,6400,KALIMANTAN TIMUR,62.79,POIN,2011
58,6500,KALIMANTAN UTARA,0.0,POIN,2011
59,7100,SULAWESI UTARA,60.89,POIN,2011
60,7200,SULAWESI TENGAH,58.48,POIN,2011
61,7300,SULAWESI SELATAN,57.25,POIN,2011
62,7400,SULAWESI TENGGARA,59.73,POIN,2011
63,7500,GORONTALO,55.42,POIN,2011
64,7600,SULAWESI BARAT,53.32,POIN,2011
65,8100,MALUKU,64.75,POIN,2011
66,8200,MALUKU UTARA,59.35,POIN,2011
67,9100,PAPUA BARAT,53.87,POIN,2011
68,9400,PAPUA,43.43,POIN,2011
69,1100,ACEH,64.49,POIN,2012
70,1200,SUMATERA UTARA,62.32,POIN,2012
71,1300,SUMATERA BARAT,63.15,POIN,2012
72,1400,RIAU,60.53,POIN,2012
73,1500,JAMBI,58.21,POIN,2012
74,1600,SUMATERA SELATAN,56.71,POIN,2012
75,1700,BENGKULU,60.61,POIN,2012
76,1800,LAMPUNG,55.9,POIN,2012
77,1900,KEP. BANGKA BELITUNG,54.16,POIN,2012
78,2100,KEPULAUAN RIAU,65.02,POIN,2012
79,3100,DKI JAKARTA,67.99,POIN,2012
80,3200,JAWA BARAT,56.27,POIN,2012
81,3300,JAWA TENGAH,54.21,POIN,2012
82,3400,D I YOGYAKARTA,69.44,POIN,2012
83,3500,JAWA TIMUR,55.43,POIN,2012
84,3600,BANTEN,59.61,POIN,2012
85,5100,BALI,60.87,POIN,2012
86,5200,NUSA TENGGARA BARAT,55.03,POIN,2012
87,5300,NUSA TENGGARA TIMUR,54.94,POIN,2012
88,6100,KALIMANTAN BARAT,52.92,POIN,2012
89,6200,KALIMANTAN TENGAH,56.94,POIN,2012
90,6300,KALIMANTAN SELATAN,56.98,POIN,2012
91,6400,KALIMANTAN TIMUR,64.04,POIN,2012
92,6500,KALIMANTAN UTARA,0.0,POIN,2012
93,7100,SULAWESI UTARA,61.74,POIN,2012
94,7200,SULAWESI TENGAH,59.36,POIN,2012
95,7300,SULAWESI SELATAN,58.34,POIN,2012
96,7400,SULAWESI TENGGARA,60.45,POIN,2012
97,7500,GORONTALO,55.82,POIN,2012
98,7600,SULAWESI BARAT,53.87,POIN,2012
99,8100,MALUKU,65.33,POIN,2012
100,8200,MALUKU UTARA,60.66,POIN,2012
101,9100,PAPUA BARAT,54.7,POIN,2012
102,9400,PAPUA,44.41,POIN,2012
103,1100,ACEH,65.23,POIN,2013
104,1200,SUMATERA UTARA,63.75,POIN,2013
105,1300,SUMATERA BARAT,64.14,POIN,2013
106,1400,RIAU,62.02,POIN,2013
107,1500,JAMBI,59.81,POIN,2013
108,1600,SUMATERA SELATAN,56.94,POIN,2013
109,1700,BENGKULU,62.45,POIN,2013
110,1800,LAMPUNG,57.43,POIN,2013
111,1900,KEP. BANGKA BELITUNG,54.83,POIN,2013
112,2100,KEPULAUAN RIAU,66.14,POIN,2013
113,3100,DKI JAKARTA,68.91,POIN,2013
114,3200,JAWA BARAT,58.08,POIN,2013
115,3300,JAWA TENGAH,55.68,POIN,2013
116,3400,D I YOGYAKARTA,69.82,POIN,2013
117,3500,JAWA TIMUR,56.79,POIN,2013
118,3600,BANTEN,60.68,POIN,2013
119,5100,BALI,61.46,POIN,2013
120,5200,NUSA TENGGARA BARAT,56.41,POIN,2013
121,5300,NUSA TENGGARA TIMUR,56.61,POIN,2013
122,6100,KALIMANTAN BARAT,54.54,POIN,2013
123,6200,KALIMANTAN TENGAH,58.52,POIN,2013
124,6300,KALIMANTAN SELATAN,57.73,POIN,2013
125,6400,KALIMANTAN TIMUR,65.27,POIN,2013
126,6500,KALIMANTAN UTARA,61.19,POIN,2013
127,7100,SULAWESI UTARA,62.3,POIN,2013
128,7200,SULAWESI TENGAH,60.4,POIN,2013
129,7300,SULAWESI SELATAN,59.64,POIN,2013
